City Name,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Ca Mau,82.11,71,13,5.73,9.1769,105.15
Port Elizabeth,66.2,55,0,20.71,-33.918,25.5701
Lagoa,57.43,60,11,4.25,39.05,-27.9833
Stornoway,48.0,76,40,10.36,58.2093,-6.3865
Juneau,42.8,87,90,6.91,58.3019,-134.4197
Tabuleiro do Norte,87.08,50,100,10.6,-5.2467,-38.1306
Mataura,42.01,91,94,4.0,-46.1927,168.8643
Nirmal,96.3,18,66,5.73,19.1,78.35
Oussouye,95.0,31,0,4.61,12.485,-16.5469
Kupang,77.58,84,64,6.15,-10.1667,123.5833
Novoagansk,34.57,96,100,14.79,61.9449,76.6625
Champerico,77.0,88,75,3.53,14.3,-91.9167
Kamenka,51.49,76,100,17.6,51.3223,42.7678
Krasnaya Poyma,60.01,42,100,19.77,55.0014,39.08
Arraial do Cabo,77.0,69,40,4.61,-22.9661,-42.0278
Waddān,105.94,4,51,11.12,29.1614,16.139
Lebedinyy,30.43,99,100,1.14,58.5167,125.5167
Yambio,91.38,34,38,6.96,4.5721,28.3955
Chui,66.94,57,0,7.11,-33.6971,-53.4616
Avarua,77.0,100,75,5.75,-21.2078,-159.775
Aktyubinskiy,53.49,38,76,8.9,54.8137,52.8056
Sørland,35.6,60,40,13.8,67.667,12.6934
Yumen,71.37,8,58,11.1,40.2833,97.2
Felanitx,70.0,73,20,10.36,39.4696,3.1483
Opuwo,88.47,20,79,4.05,-18.0607,13.84
Paliā Kalān,93.49,15,1,5.5,28.45,80.5833
Ketchikan,44.6,93,90,4.61,55.3422,-131.6461
Uribia,84.04,54,94,8.88,11.7139,-72.266
Prince Rupert,44.6,93,90,3.44,54.3161,-130.3201
Port Lincoln,67.05,37,100,6.8,-34.7333,135.8667
Honningsvåg,32.0,74,75,17.27,70.9821,25.9704
Sept-Îles,48.2,66,90,11.5,50.2001,-66.3821
Nouadhibou,75.2,69,40,18.41,20.931,-17.0347
Nikolskoye,50.0,40,0,13.42,59.7035,30.7861
George Town,78.01,94,40,5.75,5.4112,100.3354
Port Hedland,75.2,83,0,7.83,-20.3167,118.5667
Hilo,71.6,83,90,4.61,19.7297,-155.09
Husavik,32.0,2,90,11.5,66.0449,-17.3389
Mtimbira,80.01,85,87,2.06,-8.7833,36.35
Pimentel,66.99,83,43,7.0,-6.8367,-79.9342
Zhigansk,32.18,86,100,0.87,66.7697,123.3711
Oranjemund,62.96,65,0,21.16,-28.55,16.4333
Santiago del Estero,65.91,47,0,12.35,-27.7951,-64.2615
Olafsvik,38.5,69,69,18.77,64.8945,-23.7142
Saint-François,55.4,62,75,6.91,46.4154,3.9054
Corinth,75.0,58,97,5.01,37.9407,22.9573
Zhezkazgan,57.81,23,74,13.94,47.8043,67.7144
Vila,57.99,51,11,1.01,42.0304,-8.1588
Yulara,64.4,25,53,6.91,-25.2406,130.9889
Bagdarin,27.72,91,9,4.23,54.4333,113.6
Benghazi,85.24,29,63,14.25,32.1167,20.0667
Torbay,51.01,57,75,3.44,47.6666,-52.7314
Senador José Porfírio,81.77,71,98,1.74,-2.5908,-51.9542
Cidreira,71.01,65,0,12.06,-30.1811,-50.2056
Ancud,55.99,100,90,10.36,-41.8697,-73.8203
Cherskiy,0.95,100,97,2.91,68.75,161.3
Chupa,34.84,49,100,9.15,66.27,33.0549
Dunedin,51.01,64,67,11.99,-45.8742,170.5036
Adré,99.03,11,0,5.75,13.4667,22.2
Khatanga,31.59,94,100,8.16,71.9667,102.5
Chastyye,49.46,42,46,7.14,57.2888,54.9728
Mahébourg,78.8,83,75,13.8,-20.4081,57.7
Coquimbo,59.0,67,0,5.75,-29.9533,-71.3436
Harper,84.99,68,100,6.04,4.375,-7.7169
Ponta do Sol,68.0,49,20,10.36,32.6667,-17.1
Hashtrūd,73.02,23,22,11.25,37.4779,47.0508
Srednekolymsk,6.33,96,7,6.29,67.45,153.6833
Inhapim,73.4,68,0,5.75,-19.5492,-42.12
Roebourne,82.56,46,0,7.18,-20.7833,117.1333
Umluj,86.99,51,5,6.51,25.0213,37.2685
Pangody,31.06,94,100,12.19,65.85,74.4859
Rafaela,70.0,43,0,8.01,-31.2503,-61.4867
Abong Mbang,86.79,48,100,1.12,3.9833,13.1833
Independence,64.99,48,1,3.44,39.0911,-94.4155
Vigrestad,50.0,66,20,10.36,58.5667,5.7
Shemonaīkha,49.35,60,100,8.19,50.6328,81.9056
Humboldt,48.0,100,75,6.91,40.6665,-123.9178
Galle,81.36,81,23,6.82,6.0367,80.217
Santa Lucía,73.0,60,40,27.63,27.9117,-15.5407
Sakakah,98.6,8,0,5.75,29.9697,40.2064
Dikson,13.46,94,81,10.11,73.5069,80.5464
Berlevåg,30.2,64,40,19.57,70.8578,29.0864
Sitka,44.6,81,90,13.8,57.0531,-135.33
Leningradskiy,13.01,95,83,12.88,69.3833,178.4167
Maniitsoq,36.14,66,12,4.09,65.4167,-52.9
Broome,55.99,66,90,19.57,42.2506,-75.833
Arbazh,49.32,70,100,12.82,57.6804,48.3065
Lüderitz,73.85,40,0,24.85,-26.6481,15.1594
Naze,64.36,77,100,9.44,28.3667,129.4833
Lavrentiya,10.67,94,40,5.32,65.5833,-171.0
Yoichi,45.0,77,100,16.17,43.2039,140.7703
Sorrento,77.0,46,0,2.3,40.626,14.3744
Žagarė,42.8,87,90,8.05,56.3592,23.25
Tuy Hoa,77.97,89,78,0.94,13.0833,109.3
Vernon,50.0,81,60,3.44,50.2581,-119.2691
Griffith,52.0,62,1,18.41,41.5284,-87.4237
Gornopravdinsk,42.35,56,83,10.42,60.05,69.9
Hambantota,78.8,100,75,3.44,6.1241,81.1185
Leh,43.9,34,27,3.91,34.1667,77.5833
Washington,57.99,62,100,1.01,47.5001,-120.5015
Baykit,35.71,99,100,4.43,61.67,96.37
Loikaw,75.6,69,94,2.98,19.6742,97.2094
Santa Catarina de Tepehuanes,52.11,50,10,2.98,25.35,-105.7333
Murdochville,46.4,71,100,5.75,48.9583,-65.5006
Omboué,86.11,66,100,3.74,-1.5746,9.2618
Kiunga,72.86,96,100,1.77,-6.1219,141.2906
Baisha,69.8,61,97,4.47,26.5222,110.9311
Idlib,82.4,36,0,18.41,35.9306,36.6339
De-Kastri,32.65,92,100,7.23,51.4667,140.7833
Papara,87.01,66,75,13.8,-3.9839,-38.7273
Mount Gambier,59.0,51,99,9.22,-37.8333,140.7667
Cairns,73.4,78,40,11.5,-16.9167,145.7667
Vestmannaeyjar,44.6,81,75,10.36,63.4427,-20.2734
Guerrero Negro,63.99,69,0,6.13,27.9769,-114.0611
Dingle,77.95,67,7,4.72,10.9995,122.6711
Kremenchuk,65.17,57,100,9.19,49.0973,33.4197
Codrington,58.42,48,84,9.84,-38.2667,141.9667
Samarai,79.45,80,53,8.08,-10.6167,150.6667
Aklavik,19.4,93,100,5.75,68.2191,-135.0107
Lonār,89.17,23,65,22.01,19.9833,76.5333
Barão de Melgaço,77.0,61,0,4.61,-16.1944,-55.9675
Bosaso,84.2,84,40,6.91,11.2842,49.1816
Sisimiut,38.64,71,43,4.72,66.9395,-53.6735
Tessalit,107.96,5,43,16.75,20.1986,1.0114
Pacific Grove,51.8,87,90,5.75,36.6177,-121.9166
Maningrida,75.16,68,98,10.56,-12.0667,134.2667
Bethel,60.8,51,90,17.27,41.3712,-73.414
Road Town,82.4,69,40,12.66,18.4167,-64.6167
Anadyr,19.4,86,40,2.24,64.75,177.4833
Ferrol,55.99,76,27,17.0,43.4832,-8.2369
Magomeni,80.6,94,75,10.36,-6.8,39.25
Laguna,59.0,67,1,4.61,38.421,-121.4238
Alice Springs,57.2,44,0,4.61,-23.7,133.8833
Marsh Harbour,77.74,71,13,12.57,26.5412,-77.0636
Avera,75.2,64,1,14.97,33.194,-82.5271
Zacualpan,68.0,83,20,1.23,21.25,-105.1667
Sīrjān,66.2,47,100,7.56,29.452,55.6814
Labuhan,79.57,84,28,7.29,-6.8844,112.2051
Naberera,69.21,78,100,10.67,-4.2,36.9333
Athmallik,91.42,46,25,8.99,20.7219,84.5348
Munkebo,51.01,68,100,7.18,55.4618,10.5558
Vestmanna,39.2,56,75,8.05,62.1564,-7.1664
São Filipe,72.63,76,77,9.57,14.8961,-24.4956
Zaria,102.29,9,98,6.17,11.1113,7.7227
Praia da Vitória,62.01,72,20,1.39,38.7333,-27.0667
Sinnamary,75.49,94,100,8.59,5.3833,-52.95
Kalanguy,35.64,95,100,9.37,51.0167,116.5167
Batagay,26.42,93,100,1.81,67.6333,134.6333
Langsa,77.23,85,58,1.05,4.4683,97.9683
Bañón,64.4,72,0,16.11,40.8382,-1.1909
Vila Velha,78.8,61,75,16.11,-20.3297,-40.2925
Keffi,93.2,49,40,6.91,8.8486,7.8736
Havre-St-Pierre,46.4,76,90,13.8,50.2334,-63.5986
Manzhouli,37.29,53,23,5.7,49.6,117.4333
Sørkjosen,28.4,74,75,11.5,69.8,20.9333
Daru,79.63,78,68,10.56,-9.0763,143.2092
Kudahuvadhoo,84.0,69,17,3.27,2.6708,72.8944
Mitsamiouli,87.8,70,40,12.66,-11.3847,43.2844
Cabo San Lucas,70.0,36,1,3.44,22.8909,-109.9124
Puerto Maldonado,71.6,78,0,4.61,-12.6,-69.1833
Ucluelet,52.0,100,90,2.3,48.9329,-125.5528
Hobyo,85.98,62,80,12.24,5.3505,48.5268
Churapcha,31.05,96,100,3.18,62.0025,132.4325
Amapá,85.06,59,100,2.82,1.0,-52.0
Carnarvon,71.6,73,99,14.97,-24.8667,113.6333
Deniliquin,57.0,61,0,7.81,-35.5333,144.9667
Solnechnyy,32.23,93,89,6.55,50.7214,136.6319
Caruray,79.27,80,6,4.81,10.3094,119.0128
Omsukchan,26.1,91,100,5.01,62.5333,155.8
Macomb,61.0,47,75,14.97,40.4592,-90.6718
Novozybkov,69.8,49,75,15.66,52.5396,31.9275
Katsuura,62.6,67,40,10.36,35.1333,140.3
Bilma,103.08,3,0,4.38,18.6853,12.9164
Nemuro,37.9,82,52,26.64,43.3236,145.575
Lata,63.0,51,40,14.97,40.1629,-8.3327
Berbera,85.93,66,17,8.55,10.4396,45.0143
Cabra,63.0,48,100,4.0,37.4725,-4.4421
Itoman,71.6,73,75,11.5,26.1247,127.6694
Upernavik,33.4,71,93,5.28,72.7868,-56.1549
Klaksvík,39.2,56,75,8.05,62.2266,-6.589
Ternate,81.03,77,85,1.81,0.8,127.4
Lorengau,80.85,77,98,2.08,-2.0226,147.2712
Paita,77.0,65,40,19.57,-5.0892,-81.1144
Evensk,23.02,81,22,8.99,61.95,159.2333
Mortka,40.44,56,95,11.59,59.3322,66.0214
Ahipara,59.05,87,100,7.63,-35.1667,173.1667
Bonnyville,46.4,53,75,5.75,54.2668,-110.735
Redcliffe,66.99,94,75,10.36,-27.2307,153.0973
Mahajanga,89.6,62,40,4.61,-15.7167,46.3167
Darhan,46.15,43,100,5.44,49.4867,105.9228
Ayr,51.01,43,20,4.61,55.4627,-4.6339
Lebu,57.42,83,100,13.62,-37.6167,-73.65
Lowestoft,50.0,65,98,1.01,52.4752,1.7516
Kavieng,81.68,76,72,4.43,-2.5744,150.7967
Tūkrah,93.54,19,32,13.58,32.5341,20.5791
San Patricio,73.4,88,90,8.05,28.017,-97.5169
Bahir Dar,77.45,40,100,3.56,11.5936,37.3908
Dwārka,83.43,74,100,15.14,22.2394,68.9678
Thompson,24.8,74,40,2.3,55.7435,-97.8558
Goderich,39.2,81,83,20.71,43.7501,-81.7165
Channel-Port aux Basques,39.78,83,94,18.75,47.5702,-59.1367
Salinópolis,79.93,83,100,7.0,-0.6136,-47.3561
Akdepe,75.2,25,0,20.71,42.0551,59.3788
Castro,63.75,61,17,13.4,-24.7911,-50.0119
Rio Grande,71.6,68,20,11.5,-32.035,-52.0986
Golāghāt,87.37,36,72,9.15,26.5167,93.9667
Blackpool,51.01,71,40,8.05,53.8167,-3.05
Vanimo,79.16,87,96,6.89,-2.6741,141.3028
Isangel,76.53,76,54,15.64,-19.55,169.2667
Yar-Sale,28.74,94,78,9.66,66.8333,70.8333
High Rock,78.8,78,40,11.5,26.6208,-78.2833
Murgab,80.6,47,0,9.22,37.4966,61.9714
Mayor Pablo Lagerenza,79.0,28,0,2.21,-19.9309,-60.7718
Fügen,66.0,54,70,5.01,47.35,11.85
Verkh-Usugli,33.49,71,74,4.7,52.7,115.1667
Tiksi,28.9,82,89,4.29,71.6872,128.8694
Arandis,64.0,81,0,5.99,-22.4167,14.9667
Slave Lake,48.13,79,67,15.5,55.2834,-114.769
Breytovo,40.37,97,100,4.43,58.2993,37.8617
Kamaishi,49.37,75,93,7.4,39.2667,141.8833
Paamiut,37.81,73,6,7.99,61.994,-49.6678
Kumul,80.76,10,0,5.82,42.8,93.45
Fortuna,46.99,100,75,6.91,40.5982,-124.1573
Biak,77.54,80,100,1.54,-0.9131,122.8766
Fort Saint James,41.85,83,1,5.5,54.4333,-124.25
Thinadhoo,84.29,69,11,5.01,0.5333,72.9333
Tairua,61.0,83,87,3.0,-37.0167,175.85
Ābādān,104.0,9,0,4.61,30.3392,48.3043
Kattivākkam,87.01,74,20,10.36,13.2167,80.3167
Kamphaeng Phet,83.91,66,99,4.41,16.25,99.5
Fairbanks,30.2,80,90,9.22,64.8378,-147.7164
Yeppoon,64.4,88,25,12.91,-23.1333,150.7333
Savannah Bight,84.0,73,75,24.83,16.45,-85.85
Ulaangom,58.66,33,100,2.66,49.9811,92.0667
Moba,57.04,65,1,4.94,33.2288,105.0179
Luena,84.2,51,75,1.99,-11.7833,19.9167
Erdenet,40.64,63,100,5.35,49.0333,104.0833
Albert Lea,48.99,57,1,10.36,43.648,-93.3683
Barsovo,42.8,75,0,8.95,61.1667,73.1667
Poronaysk,35.96,80,100,17.47,49.2167,143.1167
Caravelas,77.92,75,98,10.76,-17.7125,-39.2481
Bintulu,78.8,94,40,2.3,3.1667,113.0333
Tezu,82.44,33,58,4.47,27.9167,96.1667
Yangi Marg`ilon,77.0,27,100,32.21,40.4272,71.7189
Tonota,83.01,32,99,10.42,-21.4833,27.4833
Rock Sound,77.04,76,96,10.13,24.9,-76.2
Bambous Virieux,78.8,83,75,13.8,-20.3428,57.7575
Grand-Santi,81.12,81,68,2.1,4.25,-54.3833
Azuaga,59.0,55,100,10.0,38.2667,-5.6833
Abu Dhabi,87.8,35,0,9.22,24.4667,54.3667
Djenné,104.77,17,46,5.46,13.9061,-4.5533
Sola,81.14,73,100,19.13,-13.8833,167.55
Manggar,82.26,72,100,1.34,-2.8833,108.2667
Manyana,75.92,32,0,11.79,-23.4,21.7167
Ratnagiri,84.69,71,9,10.78,16.9833,73.3
Imuris,60.39,44,0,12.59,30.7833,-110.8667
Sechura,71.91,72,62,10.76,-5.5569,-80.8222
Huainan,66.85,44,24,5.77,32.6264,116.9969
Cortez,55.99,40,1,5.75,37.3489,-108.5859
Moss Vale,61.0,100,52,2.46,-34.55,150.3833
Portland,53.6,76,90,6.91,45.5234,-122.6762
Atambua,73.42,90,100,2.04,-9.1061,124.8925
Palana,29.91,91,100,4.21,59.1167,159.9667
Nantucket,59.0,82,40,19.57,41.2835,-70.0995
Maceió,86.0,62,40,14.97,-9.6658,-35.7353
Røros,33.8,64,75,12.66,62.5747,11.3842
Hervey Bay,64.99,92,100,1.01,-25.2986,152.8535
Sikonge,77.88,60,99,7.4,-5.6333,32.7667
Damaturu,106.48,5,33,9.37,11.747,11.9608
Acaraú,84.7,65,98,8.05,-2.8856,-40.12
Sibolga,78.39,87,100,3.09,1.7427,98.7792
Sayansk,44.64,62,100,3.71,54.1088,102.1648
Vidim,36.73,87,100,4.16,56.4088,103.1106
Geraldton,60.8,59,50,12.66,-28.7667,114.6
Mwanza,80.15,56,100,2.62,-2.5167,32.9
Verkhoyansk,28.53,87,100,1.23,67.5447,133.385
Chumikan,28.8,98,100,5.7,54.7183,135.315
Conceição da Barra,80.04,61,85,12.39,-18.5933,-39.7322
Narsaq,55.4,28,20,24.16,60.9167,-46.05
Coahuayana Viejo,64.4,82,90,0.78,18.7333,-103.6833
Bubaque,79.86,57,80,11.65,11.2833,-15.8333
Erdaojiang,42.64,80,89,1.43,41.7764,126.0319
Zaraza,80.26,63,89,4.68,9.3503,-65.3245
Vila Franca do Campo,60.8,63,75,8.05,37.7167,-25.4333
Beloha,80.6,56,12,5.57,-25.1667,45.05
Sistranda,42.8,65,75,9.22,63.7256,8.834
Ierapetra,84.99,61,20,4.61,35.01,25.7353
Egvekinot,18.39,96,100,2.95,66.3167,-179.1667
Whitefish,50.0,76,1,3.27,48.4111,-114.3376
Padang,78.8,89,20,1.14,-0.9492,100.3543
Praia,78.8,53,75,20.71,14.9215,-23.5087
Pangai,79.88,78,100,2.89,-19.8,-174.35
Øksfjord,28.4,80,75,20.71,70.2396,22.3479
Betioky,84.87,42,58,8.1,-23.7167,44.3833
Alofi,73.4,94,100,1.14,-19.0595,-169.9187
Nuevo Imperial,70.39,71,5,2.77,-13.0754,-76.3172
Sohag,105.8,6,0,9.22,26.557,31.6948
Inta,36.84,65,40,8.37,66.0317,60.1659
Kailua,73.4,68,75,6.91,21.4022,-157.7394
Paragominas,80.37,83,99,3.04,-2.9667,-47.4833
Bathsheba,84.2,58,40,19.57,13.2167,-59.5167
Vao,74.44,62,83,21.63,-22.6667,167.4833
Baiersbronn,46.0,96,100,1.99,48.5,8.3833
Birao,104.31,14,58,6.08,10.2849,22.7882
Baiyin,64.4,24,0,4.47,36.5583,104.2081
Preobrazheniye,38.8,91,100,5.68,42.9019,133.9064
Poso,81.0,75,100,4.99,-1.3959,120.7524
North Bend,51.01,93,1,8.05,43.4065,-124.2243
Timrå,48.99,31,75,13.8,62.487,17.3257
Rincon,80.6,65,40,12.66,32.296,-81.2354
Samaná,80.6,74,20,6.91,19.2056,-69.3369
Myaundzha,27.03,91,100,2.39,63.0494,147.1858
Bay Roberts,51.01,70,59,3.0,47.5999,-53.2648
Astoria,51.8,93,90,4.65,46.1879,-123.8313
Siocon,79.52,86,100,3.96,7.7061,122.1353
Severo-Kuril'sk,35.44,92,100,16.02,50.6789,156.125
Prabumulih,74.8,97,100,2.95,-3.45,104.25
Kutum,93.83,10,9,10.96,14.2,24.6667
Salalah,86.0,74,75,11.5,17.0151,54.0924
Cody,64.4,29,1,12.66,44.5263,-109.0565
Imbituba,71.6,68,20,4.61,-28.24,-48.6703
Sinjār,88.41,17,93,16.82,36.3209,41.8754
Altay,64.87,32,83,4.38,47.8667,88.1167
Petropavlovsk-Kamchatskiy,35.6,87,90,4.47,53.0452,158.6483
Kayiry,65.08,61,100,6.82,46.9454,33.7059
Vostok,35.62,78,3,2.28,46.4856,135.8833
Eureka,48.0,100,1,4.61,40.8021,-124.1637
Oranjestad,84.2,70,40,14.97,12.524,-70.027
Eyl,86.14,64,74,11.07,7.9803,49.8164
Pisco,69.8,73,8,6.91,-13.7,-76.2167
Lázaro Cárdenas,78.08,73,97,3.29,17.9583,-102.2
Mutare,78.69,48,65,5.55,-18.9707,32.6709
Nikki,103.03,15,67,5.97,9.9401,3.2108
Kahului,69.8,100,90,10.36,20.8947,-156.47
Moussoro,105.53,4,0,5.93,13.6408,16.4901
Kharitonovo,45.64,56,100,6.46,61.4009,47.4978
Kolondiéba,105.1,17,88,4.94,11.0882,-6.8926
Valparaíso,60.8,77,90,5.75,-33.0393,-71.6273
Buarcos,64.0,51,40,14.97,40.166,-8.8768
Selikhino,36.1,90,95,10.89,50.3672,137.4996
Iqaluit,35.6,75,75,13.8,63.7506,-68.5145
Marovoay,89.6,62,40,4.61,-16.1,46.6333
Mount Isa,69.8,37,0,5.75,-20.7333,139.5
Florence,73.4,56,75,5.75,43.7667,11.25
Severomuysk,18.27,81,7,1.79,56.1481,113.4267
Mahon,66.2,68,40,5.75,39.8885,4.2658
Peniche,66.99,57,48,8.01,39.3558,-9.3811
Poum,75.74,68,98,13.22,-20.2333,164.0167
Ulaanbaatar,30.2,74,0,4.47,47.9077,106.8832
Muzaffarpur,84.2,34,20,5.75,26.1167,85.4
Payo,74.16,98,100,1.21,-3.7508,103.6372
Westport,64.4,45,40,24.16,41.1415,-73.3579
Vanavara,34.66,86,100,5.66,60.34,102.2797
Emba,60.4,28,4,7.29,48.8264,58.1442
Rawlins,50.0,43,1,8.05,41.7911,-107.2387
Port Hardy,48.2,93,75,3.44,50.6996,-127.4199
Viedma,70.25,41,83,17.85,-40.8135,-62.9967
Kadoma,61.0,65,0,4.18,34.7333,135.5833
Bonavista,51.8,62,55,2.3,48.6499,-53.1147
Ulladulla,55.0,100,5,3.8,-35.35,150.4667
Penzance,51.8,62,20,12.66,50.1186,-5.5371
Krasnyy Profintern,46.4,87,90,6.71,57.7446,40.435
Yonezawa,45.23,92,17,3.96,37.9167,140.1167
Manjeshwar,86.0,70,20,4.61,12.7194,74.8861
Ginda,60.1,62,71,6.78,30.6945,78.4932
Acapulco de Juárez,78.8,83,75,4.61,16.8634,-99.8901
Kholtoson,36.55,82,100,3.78,50.2981,103.3097
Shahreza,75.99,14,21,5.93,32.0339,51.8794
Porto Tolle,73.0,52,84,4.0,44.9497,12.3245
Mangan,69.03,73,99,4.88,27.5167,88.5333
Mogapi,83.37,33,5,9.62,-22.323,27.8349
Marabu,82.4,83,40,0.65,4.4148,114.0089
Aranos,71.69,23,0,8.01,-24.1333,19.1167
